asset,direction,signalTs,entryTs,entry,exitTs,exit,stopLoss,takeProfit,qty,risk,pnl,rMultiple,durationH,win,exitReason,ambiguous,passCount,condsPassed,condsFailed,rsi,macd,macdSignal,trend1h,trend4h,ema20,volume,atr,balanceAfter
SILVER,LONG,2025-12-29T03:00:00+00:00,2025-12-29T04:00:00+00:00,80.05,2025-12-29T06:00:00+00:00,76.568,76.568,87.014,0.31055,1.0813,-1.0813,-1.0,2.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,63.738998901528525,1.6390801908450499,1.5624553303438367,BULLISH,BULLISH,76.74257737356673,10913.0,2.321323610392657,107.0519
SILVER,LONG,2026-01-05T11:00:00+00:00,2026-01-05T12:00:00+00:00,74.4,2026-01-05T14:00:00+00:00,76.7731,73.2134,76.7731,0.902209,1.0705,2.141,2.0,2.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,52.50416671834249,0.705441313986384,0.63740661997626,BULLISH,BULLISH,74.36073520633381,5794.0,0.7910349754809988,109.1929
SILVER,LONG,2026-01-06T03:00:00+00:00,2026-01-06T04:00:00+00:00,78.73,2026-01-06T10:00:00+00:00,77.2878,77.2878,81.6145,0.757105,1.0919,-1.0919,-1.0,6.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,71.62536424159879,0.8619882050452929,0.7562340702449808,BULLISH,BULLISH,76.21521409524081,4755.0,0.9614951738560394,108.101
SILVER,LONG,2026-01-06T14:00:00+00:00,2026-01-06T15:00:00+00:00,80.33,2026-01-07T05:00:00+00:00,78.9176,78.9176,83.1548,0.765365,1.081,-1.081,-1.0,14.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,70.72122242792172,0.9593394189271436,0.8746587596117925,BULLISH,BULLISH,77.77411289870946,18250.0,0.9416066607485393,107.02
SILVER,LONG,2026-01-09T16:00:00+00:00,2026-01-09T17:00:00+00:00,80.335,2026-01-12T00:00:00+00:00,83.2852,78.8599,83.2852,0.725499,1.0702,2.1404,2.0,55.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,73.26990095681205,0.7780932286156457,0.38281995324048623,BULLISH,BULLISH,77.75520668424373,9438.0,0.9834151943939805,109.1604
SILVER,LONG,2026-01-12T13:00:00+00:00,2026-01-12T14:00:00+00:00,85.65,2026-01-12T14:00:00+00:00,84.3535,84.3535,88.2429,0.841993,1.0916,-1.0916,-1.0,0.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,78.57017375411077,1.6355122050177329,1.620899115092873,BULLISH,BULLISH,82.8367657663602,13845.0,0.8643019357804435,108.0688
SILVER,LONG,2026-01-12T16:00:00+00:00,2026-01-12T17:00:00+00:00,86.12,2026-01-12T21:00:00+00:00,84.635,84.635,89.09,0.72774,1.0807,-1.0807,-1.0,4.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,76.03325532454916,1.6340115406512865,1.6188684952255434,BULLISH,BULLISH,83.53967771076601,9178.0,0.9899941812440584,106.9881
SILVER,LONG,2026-01-13T13:00:00+00:00,2026-01-13T14:00:00+00:00,87.73,2026-01-13T18:00:00+00:00,86.354,86.354,90.482,0.777539,1.0699,-1.0699,-1.0,4.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,71.9904652209329,0.7961747901282479,0.7449027887435152,BULLISH,BULLISH,85.33127480855963,17159.0,0.9173221205754866,105.9182
SILVER,LONG,2026-01-14T01:00:00+00:00,2026-01-14T02:00:00+00:00,89.77,2026-01-14T20:00:00+00:00,93.4174,87.9463,93.4174,0.580784,1.0592,2.1184,2.0,18.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,69.2594103152336,0.9916245261776453,0.9276835971899636,BULLISH,BULLISH,87.10977650525766,8888.0,1.2158074867586108,108.0366
SILVER,LONG,2026-01-20T09:00:00+00:00,2026-01-20T10:00:00+00:00,94.8,2026-01-21T15:00:00+00:00,92.6827,92.6827,99.0346,0.510256,1.0804,-1.0804,-1.0,29.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,65.96510656303899,1.0881108099727754,0.40004830591917384,BULLISH,BULLISH,91.65571028277024,5138.0,1.4115350845118935,106.9562
SILVER,LONG,2026-01-23T01:00:00+00:00,2026-01-23T02:00:00+00:00,98.58,2026-01-23T17:00:00+00:00,101.5221,97.109,101.5221,0.727085,1.0696,2.1391,2.0,15.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,75.72275134630533,1.0571438423035602,0.7176971165753299,BULLISH,BULLISH,95.52333379731759,9751.0,0.9806847902689936,109.0953
SILVER,LONG,2026-01-26T05:00:00+00:00,2026-01-26T06:00:00+00:00,107.675,2026-01-26T16:00:00+00:00,112.4808,105.2721,112.4808,0.454017,1.091,2.1819,2.0,10.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,81.69680637236503,2.803147033193113,2.3445082917204862,BULLISH,BULLISH,103.73694628456012,6560.0,1.601925644062686,111.2772
SILVER,LONG,2026-01-27T21:00:00+00:00,2026-01-27T23:00:00+00:00,112.44,2026-01-29T06:00:00+00:00,120.0675,108.6262,120.0675,0.291779,1.1128,2.2255,2.0,31.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,57.45649000151487,0.43066470944503976,0.396146713097437,BULLISH,BULLISH,109.73141740921652,6819.0,2.5425032820973126,113.5028
SILVER,SHORT,2026-02-05T12:00:00+00:00,2026-02-05T13:00:00+00:00,75.48,2026-02-05T23:00:00+00:00,67.1842,79.6279,67.1842,0.273638,1.135,2.2701,2.0,10.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,33.02497110082527,-2.616157278352958,-2.1672273142424165,BEARISH,BEARISH,80.83322876816919,6117.0,2.765279872824156,115.7728
SILVER,SHORT,2026-02-06T00:00:00+00:00,2026-02-06T01:00:00+00:00,69.93,2026-02-06T13:00:00+00:00,75.2484,75.2484,59.2931,0.217682,1.1577,-1.1577,-1.0,12.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,34.0500084858414,-3.4199327809977973,-2.9284375833812697,BEARISH,BEARISH,75.32576906070277,11882.0,3.5456246757939067,114.6151
